Text,Sentiment
should be in everyone s Portfolio,1
No one convinced me that as an investment is anything other than a scheme I can see the utility of it as a currency I don t think it s great as that either The question I ask is what about the useful the current price,-1
I think it can be very dependable if you pick the right and manage risk accordingly Generally the higher the yield the higher the risk,1
Bear market is over Nothing but green from here on out,1
I posted this before but regulation particularly around would be so good for We t going to see widespread adoption until there is more regulation in place and a playground for more risk averse people and to live within This can live in harmony with as it is today This of course does assume that the are done intelligently which is definitely not a given But I do think it a solid chance of happening There s enough money in with like the and that will push the regulation in the right direction,1
The value of WAY too much at least for now to be useful as a replacement for cash,-1
I t imagine being one of the who bought into LUNA,-1
Not trust this horrific guy and never invest on LUNA ever,-1
is Hope Love Many people are and long for their grand and It s Hope and Love for them,1
We can no longer trust central and The connected everyone thus us to see through the We need a currency for everyone,1
In short invest in,1
I do not feel sorry for anyone who got into,-1
is pretty stable but w the worst stocks t prove this point,1
I don t even know why people like this coin so bad Just buy the and stop losing,-1
Funny how people think s risk is comparable to stocks A lot of these are learn the hard way sooner or later,-1
If you lose money a nd time to this it s on you,-1
buy more sol,1
good time to accumulate,1
is plain and simple payment method Nothing fancy or overly complicated Anyone can understand it This is its strength,1
A great way to bring money in to help,1
You don t understand True will never sell it for fiat Also major calling fiat actual money If you knew what money really was you would understand is the realest and form of money our planet ever seen,1
I d love to see regulated out of existence It s a Black Plague on humanity literally it s a carbon monster that we desperately need to crush we also need to stop a lot of the other carbon too like oil and gas But unfortunately our world can t function super well without gas oil right now But we CAN function without and have been for of It s literally being patient and waiting another day or two for funds to settle Not to mention is absolutely filled with And the technology is outdated and stupid Literally a unchangeable linked list any programmer worth their salt can see that it s basically useless old technology It some very tiny niche which largely most and don t need it And certainly they don t need a Maybe one day it won t exist I can dream,-1
is going to be gone after this bear market,-1
Time to buy Last time this anyone who bought did very well off later if they,1
will fail because it s just a mediocre game coin and there are far more game that make better Mana because HAVE YOU ACTUALLY EXPERIENCED It s buggy and there are better tech that can create so much better stable than Mana,-1
I thought it was a store of value where d the value go does nothing now,-1
is a scam are off topic in this,-1
Note this only if you think it goes up If you in a project of them it s most likely not going up ever again you just lost,-1
pretty safe as is probably the exchange that the most It s only but I t be worried about losing any money I put in to it,1
Lightning Network the capability to do millions of a sec with near to,1
as a whole needs a win I m for a smooth transition,1
The ability to use it in or send it across the planet fast and cheap as hell,1
You can accumulate at even better next week and the week after,1
Think the gone now we stuck holding,-1
is the first player in the market and that s why it is good for people to use it but there are also many other along with it,1
I doubled down on and,1
Also people buy because they want to be able to afford a ton of stuff on that dude s cart,1
