Text,Sentiment
"that ethereum is an shitcoin.

",-1
6. 95% of crypto projects are scams,-1
Do Kwon Scammer,-1
I am buying more,1
The meltdown continues.,-1
"Premarket movers 📈👀
$PPSI +20%
$BRDS +35%
$MITQ +39%
$IDRA +60% 🚀",1
$VUZI $LGVN $AUVI $VERU 📈📈📈,1
$ctra 🔥🚀,1
Congrats to all the $AMD and $GOOG bulls 🍾,1
$ROKU down 15% after hours 😬,-1
$AMZN created 1.1M #jobs in #india,1
$AUVI 🚀🚀🚀🚀🚀🚀🚀,1
$JMIA  🥳 Congrats Bulls 💪,1
MNTA Over 12.00  ,1
OI  Over 21.37  ,1
PGNX  Over 3.04  ,1
BIOF wants 4.90's comin!!!,1
Huston we have a GEEN AAP,1
VNG buys vs. Sells?,1
SQNM  Over 5.05  ,1
EOG PXD OAS #energyswag,1
The Smith&Corona doing ok. AMZN,1
Why I am buying AAP on Monday -  ,1
CVA Over 19.00  ,1
MCK  Over 100.05 -   ,1
KCG to 3.75?,1
DDD SSY Stops honored.  So be it. Now.... must.not.become.bearshitter.,-1
EBAY basing  ,1
IPX  Over 22.15  ,1
MY   Over 28.25 or 28.50  ,1
XXIA Over 18.00  ,1
HPQ in the 16.50 calls for .04!,1
NFX  Over 28.20 or 28.40  ,1
CSCO c'mon 21.,1
CSCO OO!! 21.,1
CHK squeezie   ,1
BCEI Over 31.30  ,1
ong CF,1
HOTT FNGN PIM FNF - moonshots all over,1
IF  Over 19.60  ,1
xray   Over 41.00  ,1
AEG Over 28.23  ,1
CSX CEO on CNBC now,1
AAP 462.50!,1
SWI was a beaut,1
AAP Ouffffff,-1
coh - no  ,-1
ASGN over 24.19  ,1
CSN Buying more!,1
in GEVO.,1
AVNW Over 3.78 then 3.89  ,1
GV Over 2.80  ,1
INFN  Over 7.20  ,1
GAE buying more 1.83,1
AAP No kidding Terranova!,-1
AMZN Has Post-Earnings eversal  ,-1
No Porn for me only ZNGA Pokeher,1
"MHP Kids, don't do steroids   ",-1
AAP Free-falling Now to 457,-1
BBY Pulls an AMZN  ,1
FS  Over 158.00 or 158.63  ,1
GMX -13%,-1
PCS - shhhhh,1
OCN Over 41.50  ,1
AAP and 20EMA   ,-1
VVS at the highs  ,1
AEP Over 45.20  ,1
#ed obin GB boing!  ,1
ODP it's on!,1
DVAX buy'em,1
ANTH CPX monitoring stricly,1
AVY Over 92.66  ,1
EV over  40.72  ,1
EXH  Over 24.90  ,1
STZ Over 45.00  ,1
AAP Gonzo!,1
CSOD #beastmode,1
AAP 422 nxt tgt,-1
SNTS kills it,1
PKG  Over 42.46  ,1
"#13for2013 SCA & NKD are champs, both up 50%+ in 2013  ",1
MTG don't be a bagholder!!!!,-1
"AEE crosses below 34, and I am shorting it.",-1
"I invested in MSFT, but I have more than a few words for Steve Ballmer",1
INFN at 7,1
STO VS AP 50 puts for 1.40.,1
CHK Over 21.00  ,1
SKX Over 22.50 - about   ,1
ZCS doji under trendline   ,-1
ONG Setups: AN ANIK NFX SSYS ZB MDX KS VMW and more ...  ,1
ZNGA 3.9 nxt tgt,1
ong CMG 321 again,1
DMND It's all about 4:00pm #HopingForSomethingBig  ,1
et's do this BVSN,-1
ATHN wants the hundred-dolla-roll.,1
ONG CNE at 13.91,-1
ZNGA up 7.76%,1
NP this is it,-1
aise BVSN to b/e  11.17.,1
NKD giddy-up.,1
aise 2nd 1/2 of BVSN to 11.34.,1
AAP WEHAAAAAAAAAAA,1
NKD Over 179.35  ,1
ONG MNKD  3.55.,1
AAP BTO 430 Puts,-1
ANAD :o),1
"YHOO buying on the dips,  ",1
My holdings AAP   ,-1
NFX more off here,1
MGM up 3.06%,1
MGM up 6.45%,1
MGM up 8.38%,1
AAP ruhh roooow....,-1
AIG #MApattern  ,-1
COVEED FDX  96.50 from 96.85.,-1
ONG CF here  18.30.,1
"GOOG in the 795 puts for .55, AAP is Crashing!",-1
APC weeeee,-1
"RT @DrewFitzGerald: And then there were 3: AT&amp;T, Verizon and T-Mobile https://t.co/YbaAavirhx",1
"Moody's Warns Of Downgrading Tata Motors
https://t.co/UvsiMcmoBZ",-1
